   0.0    0.0   -1.0 07:44:59.866 
   0.0    0.0   -1.0 07:44:59.966 
   0.0    0.0   -1.0 07:45:00.066 
   0.0    0.0   -1.0 07:45:02.755 
   0.0    0.0   -1.0 07:45:02.777 
   0.0    0.0   -1.0 07:45:02.867 
   0.0    0.0   -1.0 07:45:02.967 
   0.0    0.0   -1.0 07:45:03.067 
   0.0    0.0   -1.0 07:45:03.167 
   0.0    0.0   -1.0 07:45:03.267 
   0.0    0.0   -1.0 07:45:03.367 
   0.0    0.0   -1.0 07:45:03.467 
   0.0    0.0   -1.0 07:45:03.567 
   0.0    0.0   -1.0 07:45:03.667 
   0.0    0.0   -1.0 07:45:03.767 
   0.0    0.0   -1.0 07:45:03.867 
   0.0    0.0   -1.0 07:45:03.967 
   0.0    0.0   -1.0 07:45:04.068 
   0.0    0.0   -1.0 07:45:04.168 
   0.0    0.0   -1.0 07:45:04.267 
   0.0    0.0   -1.0 07:45:04.367 
   0.0    0.0   -1.0 07:45:04.467 
   0.0    0.0   -1.0 07:45:04.568 
   0.0    0.0   -1.0 07:45:04.668 
   3.0    0.0   -1.0 07:45:04.768 
   8.0    0.0   -1.0 07:45:04.868 
  17.0    0.0   -1.0 07:45:04.968 
  29.0    0.0   -1.0 07:45:05.068 
  44.0    0.0   -1.0 07:45:05.168 
  61.0    0.0   -1.0 07:45:05.268 
  80.0    0.0    0.0 07:45:05.368 
  99.0    0.0   -1.0 07:45:05.468 
 118.0    0.0   -1.0 07:45:05.568 
 140.0    0.0   -1.0 07:45:05.668 
 166.0    0.0   -1.0 07:45:05.768 
 195.0    0.0   -1.0 07:45:05.868 
 226.0    0.0   -1.0 07:45:05.968 
 261.0    0.0   -1.0 07:45:06.068 
 299.0    0.0   -1.0 07:45:06.168 
 340.0    0.0    0.0 07:45:06.269 
 383.0    0.0    0.0 07:45:06.369 
 430.0    0.0    0.0 07:45:06.468 
 479.0    0.0    0.0 07:45:06.568 
 531.0    0.0    0.0 07:45:06.669 
 580.0   -1.0   -1.0 07:45:06.769 
 624.0   -1.0    0.1 07:45:06.869 
 667.0   -1.0   -1.1 07:45:06.969 
 705.0   -1.0    0.0 07:45:07.069 
 742.0   -1.0    0.0 07:45:07.168 
 776.0   -1.0   -1.0 07:45:07.269 
 806.0   -1.0   -1.0 07:45:07.369 
 833.0   -1.0    0.0 07:45:07.469 
 858.0   -1.0   -1.0 07:45:07.569 
 879.0   -1.0    0.0 07:45:07.669 
 898.0   -1.0    0.0 07:45:07.769 
 914.0   -1.0    0.0 07:45:07.869 
 932.0   -1.0    0.0 07:45:07.969 
 955.0   -1.0    0.0 07:45:08.069 
 980.0   -1.0    0.0 07:45:08.169 
1009.0   -1.0    0.0 07:45:08.269 
1039.0   -1.0    0.0 07:45:08.369 
1074.0   -1.0   -1.0 07:45:08.469 
1111.0   -1.0    0.0 07:45:08.569 
1151.0   -1.0    0.0 07:45:08.669 
1194.0   -1.0    0.0 07:45:08.769 
1239.0   -1.0    0.0 07:45:08.869 
1285.0   -1.0    0.0 07:45:08.969 
1330.0   -1.0    0.0 07:45:09.070 
1371.0   -1.0    0.1 07:45:09.170 
1411.0   -1.0   -1.0 07:45:09.270 
1449.0   -1.0    0.0 07:45:09.370 
1489.0   -1.0    0.0 07:45:09.469 
1529.0   -1.0    0.0 07:45:09.570 
1570.0   -1.0    0.1 07:45:09.670 
1610.0   -1.0    0.0 07:45:09.770 
1651.0   -1.0    0.0 07:45:09.870 
1693.0   -1.0    0.0 07:45:09.970 
1735.0   -1.0    0.1 07:45:10.070 
1777.0   -1.0    0.1 07:45:10.170 
1818.0   -1.0    0.1 07:45:10.270 
1860.0   -1.0    0.0 07:45:10.370 
1902.0   -1.0    0.0 07:45:10.470 
1944.0   -1.0    0.0 07:45:10.570 
1986.0   -1.0    0.0 07:45:10.670 
2029.0   -1.0    0.0 07:45:10.770 
2071.0   -1.0    0.0 07:45:10.870 
2115.0   -1.0    0.0 07:45:10.970 
2160.0   -1.0    0.0 07:45:11.070 
2204.0   -1.0    0.0 07:45:11.170 
2249.0   -1.0    0.0 07:45:11.270 
2294.0   -1.0    0.1 07:45:11.370 
2339.0   -1.0    0.1 07:45:11.470 
2383.0   -1.0    0.1 07:45:11.571 
2428.0   -1.0    0.0 07:45:11.670 
2472.0   -1.0    0.0 07:45:11.770 
2517.0   -1.0    0.0 07:45:11.871 
2562.0   -1.0    0.0 07:45:11.971 
2607.0   -1.0    0.0 07:45:12.071 
2652.0   -1.0    0.0 07:45:12.171 
2696.0   -1.0    0.0 07:45:12.271 
2741.0   -1.0    0.0 07:45:12.371 
2786.0   -1.0    0.1 07:45:12.471 
2832.0   -1.0    0.1 07:45:12.571 
2876.0   -1.0    0.1 07:45:12.671 
2920.0   -1.0    0.0 07:45:12.771 
2965.0   -1.0    0.0 07:45:12.871 
3010.0   -1.0    0.0 07:45:12.971 
3055.0   -1.0    0.0 07:45:13.071 
3101.0    0.0    0.1 07:45:13.171 
3148.0    0.0    0.0 07:45:13.271 
3199.0    0.0    0.0 07:45:13.371 
3253.0    0.0    0.0 07:45:13.471 
3309.0    0.0    0.1 07:45:13.571 
3364.0    0.0    0.1 07:45:13.671 
3417.0    0.0    0.0 07:45:13.772 
3471.0    0.0    0.0 07:45:13.871 
3525.0    0.0    0.0 07:45:13.971 
3579.0    0.0    0.0 07:45:14.071 
3634.0    0.0    0.0 07:45:14.171 
3689.0    0.0    0.0 07:45:14.272 
3743.0    0.0    0.0 07:45:14.372 
3798.0    0.0    0.0 07:45:14.472 
