356 0.0697565 0.997564
356 0.139513 1.99513
356 0.209269 2.99269
356 0.279026 3.99026
356 0.348782 4.98782
356 0.418539 5.98538
356 0.488295 6.98295
356 0.558052 7.98051
356 0.627808 8.97808
356 0.697565 9.97564
356 0.767321 10.9732
356 0.837078 11.9708
356 0.906834 12.9683
356 0.976591 13.9659
356 1.04635 14.9635
356 1.1161 15.961
356 1.18586 16.9586
356 1.25562 17.9562
356 1.32537 18.9537
356 1.39513 19.9513
356 1.46489 20.9488
356 1.53464 21.9464
356 1.6044 22.944
356 1.67416 23.9415
356 1.74391 24.9391
356 1.81367 25.9367
356 1.88342 26.9342
356 1.95318 27.9318
356 2.02294 28.9294
356 2.09269 29.9269
356 2.16245 30.9245
356 2.23221 31.922
356 2.30196 32.9196
356 2.37172 33.9172
356 2.44148 34.9147
356 2.51123 35.9123
356 2.58099 36.9099
356 2.65075 37.9074
356 2.7205 38.905
356 2.79026 39.9026
356 2.86002 40.9001
356 2.92977 41.8977
356 2.99953 42.8953
356 3.06928 43.8928
356 3.13904 44.8904
356 3.2088 45.8879
356 3.27855 46.8855
356 3.34831 47.8831
356 3.41807 48.8806
356 3.48782 49.8782
356 3.55758 50.8758
356 3.62734 51.8733
356 3.69709 52.8709
356 3.76685 53.8685
356 3.83661 54.866
356 3.90636 55.8636
356 3.97612 56.8612
356 4.04588 57.8587
356 4.11563 58.8563
356 4.18539 59.8538
356 4.25514 60.8514
356 4.3249 61.849
356 4.39466 62.8465
356 4.46441 63.8441
356 4.53417 64.8417
355 5.75228 65.7489
355 5.83943 66.745
355 5.92659 67.7412
355 6.01375 68.7374
355 6.1009 69.7336
355 6.18806 70.7298
355 6.27521 71.726
355 6.36237 72.7222
355 6.44952 73.7184
354 7.83963 74.5891
355 6.62384 75.7108
355 6.71099 76.707
355 6.79815 77.7032
354 8.25775 78.5672
354 8.36228 79.5618
354 8.46681 80.5563
354 8.57133 81.5508
354 8.67586 82.5453
354 8.78039 83.5398
354 8.88492 84.5344
354 8.98945 85.5289
354 9.09398 86.5234
354 9.1985 87.5179
354 9.30303 88.5124
353 10.9682 89.3292
354 9.51209 90.5015
353 11.212 91.3142
353 11.3338 92.3068
353 11.4557 93.2993
353 11.5776 94.2919
353 11.6995 95.2844
353 11.8213 96.277
353 11.9432 97.2695
353 12.0651 98.2621
353 12.1869 99.2546
353 12.3088 100.247
352 14.1957 101.007
352 14.3348 101.998
352 14.474 102.988
352 14.6132 103.978
352 14.7523 104.968
352 14.8915 105.959
352 15.0307 106.949
352 15.1699 107.939
352 15.309 108.929
352 15.4482 109.92
352 15.5874 110.91
352 15.7266 111.9
352 15.8657 112.891
352 16.0049 113.881
352 16.1441 114.871
352 16.2833 115.861
352 16.4224 116.852
352 16.5616 117.842
352 16.7008 118.832
352 16.8399 119.822
352 16.9791 120.813
352 17.1183 121.803
353 15.1118 123.076
353 15.2337 124.068
353 15.3555 125.061
353 15.4774 126.053
353 15.5993 127.046
353 15.7211 128.038
353 15.843 129.031
353 15.9649 130.024
353 16.0868 131.016
353 16.2086 132.009
353 16.3305 133.001
353 16.4524 133.994
353 16.5742 134.986
353 16.6961 135.979
353 16.818 136.971
353 16.9398 137.964
353 17.0617 138.956
353 17.1836 139.949
353 17.3054 140.942
353 17.4273 141.934
353 17.5492 142.927
353 17.6711 143.919
353 17.7929 144.912
353 17.9148 145.904
353 18.0367 146.897
353 18.1585 147.889
353 18.2804 148.882
353 18.4023 149.874
353 18.5241 150.867
353 18.646 151.86
353 18.7679 152.852
354 16.2019 154.151
353 19.0116 154.837
354 16.411 156.14
354 16.5155 157.134
354 16.62 158.129
354 16.7246 159.124
354 16.8291 160.118
354 16.9336 161.113
354 17.0381 162.107
354 17.1427 163.102
354 17.2472 164.096
354 17.3517 165.091
354 17.4563 166.085
354 17.5608 167.08
354 17.6653 168.074
354 17.7698 169.069
354 17.8744 170.063
354 17.9789 171.058
354 18.0834 172.052
354 18.188 173.047
354 18.2925 174.041
355 15.3394 175.33
354 18.5015 176.03
355 15.5137 177.323
355 15.6009 178.319
355 15.688 179.315
355 15.7752 180.311
355 15.8623 181.307
355 15.9495 182.304
355 16.0367 183.3
355 16.1238 184.296
355 16.211 185.292
355 16.2981 186.288
355 16.3853 187.285
355 16.4724 188.281
355 16.5596 189.277
356 13.3235 190.535
356 13.3932 191.532
356 13.463 192.53
355 16.9082 193.262
356 13.6025 194.525
356 13.6723 195.523
356 13.742 196.52
356 13.8118 197.518
356 13.8815 198.515
356 13.9513 199.513
356 14.0211 200.51
356 14.0908 201.508
356 14.1606 202.506
356 14.2303 203.503
356 14.3001 204.501
356 14.3698 205.498
356 14.4396 206.496
356 14.5093 207.493
356 14.5791 208.491
356 14.6489 209.488
356 14.7186 210.486
357 11.0952 211.709
357 11.1476 212.708
357 11.1999 213.707
357 11.2522 214.705
357 11.3046 215.704
357 11.3569 216.703
357 11.4092 217.701
357 11.4616 218.7
357 11.5139 219.698
357 11.5662 220.697
357 11.6186 221.696
358 7.78259 222.864
358 7.81749 223.864
358 7.85239 224.863
358 7.88729 225.862
358 7.92219 226.862
357 11.9326 227.688
357 11.9849 228.686
357 12.0373 229.685
357 12.0896 230.683
357 12.1419 231.682
358 8.13158 232.858
358 8.16648 233.857
358 8.20138 234.857
358 8.23628 235.856
358 8.27118 236.856
358 8.30608 237.855
358 8.34098 238.854
358 8.37588 239.854
358 8.41078 240.853
357 12.6653 241.668
358 8.48058 242.852
358 8.51548 243.851
357 12.8223 244.664
358 8.58528 245.85
358 8.62018 246.85
