33.894817 130.841350  5 07:46:44.301 1004 -4 
33.894812 130.841360  5 07:46:45.296 1006 -3 
33.894822 130.841365  5 07:46:46.292 1012 -2 
33.894833 130.841368  5 07:46:47.295 1015 -1 
33.894850 130.841373  5 07:46:48.301 1012 0 
33.894855 130.841383  5 07:46:49.303 1007 1 
33.894848 130.841390  5 07:46:50.301 1004 -8 
33.894850 130.841402  5 07:46:51.295 1007 -7 
33.894843 130.841418  5 07:46:52.293 1012 -6 
33.894847 130.841423  5 07:46:53.295 1015 -5 
33.894850 130.841427  5 07:46:54.301 1012 -4 
33.894860 130.841427  5 07:46:55.303 1007 -3 
33.894860 130.841427  5 07:46:56.301 1004 -2 
33.894862 130.841430  5 07:46:57.296 1006 -1 
33.894863 130.841430  5 07:46:58.292 1012 0 
33.894867 130.841427  6 07:47:00.285 1025 -8 
33.894833 130.841433  6 07:47:01.301 1022 -7 
33.894770 130.841437  6 07:47:02.313 1007 -6 
33.894778 130.841432  6 07:47:03.311  994 -5 
33.894783 130.841437  6 07:47:04.295  997 -4 
33.894802 130.841437  6 07:47:05.283 1012 -3 
33.894787 130.841440  6 07:47:06.285 1025 -2 
33.894810 130.841450  7 07:47:07.301 1022 -1 
33.894832 130.841455  6 07:47:08.313 1007 0 
33.894828 130.841458  5 07:47:09.311  994 1 
33.894823 130.841455  4 07:47:10.295  997 -8 
33.894823 130.841455  4 07:47:11.283 1012 -7 
33.894810 130.841462  4 07:47:12.285 1025 -6 
33.894822 130.841472  4 07:47:13.301 1022 -5 
33.894795 130.841485  5 07:47:14.313 1007 -4 
33.894823 130.841513  5 07:47:15.311  994 -3 
33.894842 130.841520  5 07:47:16.295  997 -2 
33.894807 130.841530  5 07:47:17.283 1012 -1 
33.894800 130.841543  5 07:47:18.286 1024 0 
33.894832 130.841542  4 07:47:19.300 1022 1 
33.894850 130.841552  5 07:47:20.313 1007 -8 
33.894875 130.841573  5 07:47:21.310  995 -7 
33.894867 130.841592  5 07:47:22.296  997 -6 
33.894852 130.841602  5 07:47:23.283 1012 -5 
33.894843 130.841582  5 07:47:24.286 1024 -4 
33.894842 130.841570  5 07:47:25.300 1022 -3 
33.894845 130.841568  5 07:47:26.313 1007 -2 
33.894845 130.841573  7 07:47:27.310  995 -1 
33.894835 130.841592  7 07:47:28.296  997 0 
33.894802 130.841613  6 07:47:29.284 1011 1 
33.894807 130.841622  6 07:47:30.285 1024 -8 
33.894813 130.841628  6 07:47:31.300 1022 -7 
33.894785 130.841638  6 07:47:32.312 1008 -6 
33.894755 130.841655  6 07:47:33.311  995 -5 
33.894753 130.841660  6 07:47:34.296  997 -4 
33.894740 130.841673  6 07:47:35.284 1011 -3 
33.894743 130.841677  6 07:47:36.285 1024 -2 
33.894750 130.841670  6 07:47:37.300 1022 -1 
33.894750 130.841677  7 07:47:38.312 1008 0 
33.894748 130.841670  7 07:47:39.311  995 1 
33.894743 130.841668  7 07:47:40.297  996 -8 
33.894743 130.841670  6 07:47:41.283 1011 -7 
33.894747 130.841670  5 07:47:42.285 1024 -6 
33.894753 130.841675  5 07:47:43.299 1023 -5 
33.894753 130.841682  5 07:47:44.313 1008 -4 
33.894758 130.841682  5 07:47:45.311  995 -3 
33.894750 130.841685  5 07:47:46.297  996 -2 
33.894755 130.841673  5 07:47:47.283 1011 -1 
33.894763 130.841675  6 07:47:48.285 1024 0 
33.894752 130.841680  6 07:47:49.299 1023 1 
33.894750 130.841682  5 07:47:50.313 1008 -8 
33.894730 130.841692  5 07:47:51.312  994 -7 
33.894720 130.841698  5 07:47:52.296  996 -6 
33.894738 130.841693  5 07:47:53.283 1011 -5 
33.894722 130.841707  6 07:47:54.284 1025 -4 
33.894715 130.841720  6 07:47:55.300 1023 -3 
33.894733 130.841717  6 07:47:56.313 1008 -2 
33.894748 130.841723  6 07:47:57.312  994 -1 
33.894777 130.841713  6 07:47:58.296  996 0 
33.894798 130.841695  5 07:47:59.283 1011 1 
33.894803 130.841690  6 07:48:00.284 1025 -8 
33.894822 130.841690  6 07:48:01.300 1023 -7 
33.894818 130.841705  5 07:48:02.313 1008 -6 
33.894815 130.841713  5 07:48:03.312  994 -5 
33.894812 130.841713  5 07:48:04.297  995 -4 
33.894818 130.841722  6 07:48:05.282 1011 -3 
33.894817 130.841715  5 07:48:06.284 1025 -2 
33.894812 130.841732  6 07:48:07.299 1024 -1 
33.894808 130.841752  6 07:48:08.314 1008 0 
33.894802 130.841760  6 07:48:09.312  994 1 
33.894798 130.841757  6 07:48:11.565  727 -7 
33.894798 130.841762  6 07:48:12.282  743 -6 
33.894803 130.841763  6 07:48:14.006 1035 -4 
33.894802 130.841767  7 07:48:16.022 1311 -2 
33.894813 130.841772  7 07:48:17.324 1285 -1 
33.894813 130.841772  7 07:48:18.599  984 0 
33.894818 130.841775  6 07:48:19.574  708 1 
33.894817 130.841785  6 07:48:20.273  733 -8 
33.894828 130.841797  6 07:48:21.986 1045 -6 
33.894825 130.841807  6 07:48:23.022 1321 -5 
33.894825 130.841817  6 07:48:24.334 1285 -4 
33.894820 130.841822  6 07:48:25.609  974 -3 
33.894832 130.841835  6 07:48:26.574  698 -2 
33.894838 130.841847  7 07:48:27.262  734 -1 
33.894840 130.841857  7 07:48:28.977 1055 1 
33.894862 130.841858  7 07:48:30.022 1331 -8 
33.894858 130.841870  7 07:48:31.344 1285 -7 
33.894850 130.841873  7 07:48:32.620  963 -6 
33.894843 130.841882  7 07:48:33.573  688 -5 
33.894850 130.841877  7 07:48:35.242  744 -3 
33.894883 130.841850  7 07:48:35.977 1065 -2 
33.894897 130.841848  7 07:48:37.032 1331 -1 
33.894915 130.841858  6 07:48:38.354 1275 0 
33.894912 130.841873  7 07:48:39.620  953 1 
33.894925 130.841867  7 07:48:40.563  688 -8 
33.894917 130.841877  7 07:48:42.232  754 -6 
33.894908 130.841893  7 07:48:42.976 1076 -5 
33.894915 130.841898  7 07:48:44.043 1331 -4 
33.894912 130.841918  7 07:48:45.365 1264 -3 
33.894918 130.841918  7 07:48:46.619  943 -2 
33.894935 130.841910  7 07:48:47.553  688 -1 
33.894937 130.841902  7 07:48:49.222  764 1 
33.894943 130.841892  7 07:48:49.976 1086 2 
33.894953 130.841882  7 07:48:51.053 2331 -6 
33.894910 130.841902  6 07:48:53.375 2254 -5 
33.894915 130.841913  6 07:48:55.620  932 -4 
33.894903 130.841917  6 07:48:56.542  688 -2 
33.894893 130.841925  7 07:48:58.210  776 0 
33.894877 130.841927  7 07:48:58.977 1097 1 
33.894873 130.841937  6 07:49:00.065 1330 -8 
33.894858 130.841953  6 07:49:01.385 1243 -7 
33.894857 130.841952  6 07:49:02.619  922 -6 
33.894847 130.841957  6 07:49:03.531  689 -5 
33.894855 130.841970  6 07:49:05.201  786 -3 
33.894853 130.841972  6 07:49:05.977 1107 -2 
33.894857 130.841970  6 07:49:07.075 1330 -1 
33.894872 130.841958  6 07:49:08.395 1233 0 
33.894908 130.841968  6 07:49:09.619  912 1 
33.894928 130.841972  6 07:49:10.521  689 -8 
33.894935 130.841970  6 07:49:12.191  796 -6 
33.894932 130.841967  6 07:49:12.977 1117 -5 
33.894912 130.841962  6 07:49:14.085 1330 -4 
33.894922 130.841960  6 07:49:15.405 1223 -3 
33.894920 130.841962  6 07:49:16.619  902 -2 
33.894917 130.841970  6 07:49:17.512  688 -1 
33.894915 130.841975  6 07:49:19.180  806 1 
33.894918 130.841978  6 07:49:19.976 1128 2 
33.894910 130.841990  6 07:49:21.095 2331 -6 
33.894873 130.842008  7 07:49:23.417 2212 -5 
33.894860 130.842015  7 07:49:25.619  891 -4 
