-10572.0 -67801.0   90.6 07:50:21.597 
-10572.0 -67801.0   90.6 07:50:21.697 
-10572.0 -67801.0   90.8 07:50:21.797 
-10572.0 -67800.0   90.3 07:50:21.897 
-10572.0 -67801.0   88.9 07:50:21.997 
-10572.0 -67801.0   86.5 07:50:22.097 
-10572.0 -67800.0   82.9 07:50:22.198 
-10572.0 -67801.0   78.5 07:50:22.298 
-10572.0 -67801.0   72.8 07:50:22.398 
-10572.0 -67800.0   68.6 07:50:22.498 
-10572.0 -67800.0   64.9 07:50:22.597 
-10572.0 -67801.0   62.3 07:50:22.698 
-10572.0 -67800.0   60.8 07:50:22.798 
-10572.0 -67801.0   60.2 07:50:22.898 
-10572.0 -67801.0   60.2 07:50:22.998 
-10572.0 -67801.0   60.1 07:50:23.098 
-10572.0 -67801.0   60.1 07:50:23.198 
-10572.0 -67801.0   60.1 07:50:23.298 
-10572.0 -67801.0   60.6 07:50:23.398 
-10572.0 -67800.0   61.6 07:50:23.498 
-10572.0 -67801.0   63.6 07:50:23.598 
-10572.0 -67801.0   65.7 07:50:23.698 
-10572.0 -67800.0   67.1 07:50:23.798 
-10572.0 -67800.0   67.5 07:50:23.898 
-10572.0 -67801.0   67.3 07:50:23.998 
-10572.0 -67800.0   67.8 07:50:24.098 
-10572.0 -67800.0   67.8 07:50:24.198 
-10572.0 -67800.0   67.8 07:50:24.298 
-10572.0 -67800.0   67.5 07:50:24.398 
-10572.0 -67800.0   68.0 07:50:24.498 
-10572.0 -67801.0   69.4 07:50:24.598 
-10572.0 -67801.0   71.9 07:50:24.699 
-10572.0 -67800.0   73.3 07:50:24.799 
-10572.0 -67800.0   73.6 07:50:24.899 
-10572.0 -67800.0   73.4 07:50:24.999 
-10572.0 -67800.0   73.8 07:50:25.099 
-10572.0 -67800.0   75.2 07:50:25.199 
-10572.0 -67801.0   77.8 07:50:25.299 
-10572.0 -67801.0   79.0 07:50:25.399 
-10572.0 -67801.0   79.4 07:50:25.499 
-10572.0 -67800.0   79.2 07:50:25.599 
-10572.0 -67800.0   80.4 07:50:25.699 
-10572.0 -67801.0   82.3 07:50:25.799 
-10572.0 -67800.0   83.1 07:50:25.899 
-10572.0 -67801.0   83.2 07:50:25.999 
-10572.0 -67801.0   83.2 07:50:26.099 
-10572.0 -67800.0   83.0 07:50:26.199 
-10572.0 -67800.0   84.2 07:50:26.299 
-10572.0 -67800.0   86.2 07:50:26.399 
-10572.0 -67800.0   87.2 07:50:26.499 
-10572.0 -67800.0   87.4 07:50:26.599 
-10572.0 -67800.0   87.4 07:50:26.699 
-10572.0 -67800.0   87.4 07:50:26.799 
-10572.0 -67797.0   87.4 07:50:26.899 
-10572.0 -67791.0   87.5 07:50:26.999 
-10571.0 -67781.0   87.5 07:50:27.099 
-10571.0 -67769.0   87.5 07:50:27.199 
-10570.0 -67754.0   87.5 07:50:27.300 
-10570.0 -67736.0   87.5 07:50:27.400 
-10569.0 -67715.0   87.6 07:50:27.500 
-10568.0 -67691.0   87.6 07:50:27.600 
-10567.0 -67664.0   87.6 07:50:27.700 
-10566.0 -67633.0   87.7 07:50:27.800 
-10565.0 -67601.0   87.7 07:50:27.900 
-10563.0 -67565.0   87.8 07:50:28.000 
-10562.0 -67526.0   87.7 07:50:28.100 
-10560.0 -67484.0   87.7 07:50:28.200 
-10559.0 -67438.0   87.7 07:50:28.300 
-10557.0 -67391.0   87.7 07:50:28.400 
-10555.0 -67341.0   87.7 07:50:28.500 
-10553.0 -67291.0   87.6 07:50:28.600 
-10552.0 -67246.0   87.8 07:50:28.700 
