0.001 0.624 0 500
0.009 0.870 1 500
-0.004 1.257 2 500
0.006 1.673 3 500
0.001 2.093 4 500
-0.000 2.513 5 500
0.002 2.995 6 500
0.003 3.506 7 500
0.002 4.068 8 500
0.007 4.593 9 500
0.007 4.593 10 500
0.030 5.119 11 500
0.030 5.684 12 500
0.050 6.231 13 500
0.046 6.734 14 500
0.066 7.320 15 500
0.089 7.846 16 500
0.101 8.426 17 500
0.121 8.996 18 500
0.130 9.584 19 500
0.147 10.073 20 500
0.199 10.647 21 500
0.199 10.647 22 500
0.212 11.162 23 500
0.146 11.659 24 500
0.210 12.213 25 500
0.227 12.809 26 500
0.255 13.333 27 500
0.267 13.922 28 500
0.300 14.554 29 500
0.322 15.113 30 500
0.335 15.692 31 500
0.343 16.286 32 500
0.343 16.286 33 500
0.366 16.890 34 500
0.385 17.457 35 500
0.411 18.034 36 500
0.421 18.631 37 500
0.435 19.268 38 500
0.450 19.888 39 500
0.471 20.573 40 500
0.494 21.168 41 500
0.505 21.828 42 500
0.515 22.437 43 500
0.532 23.100 44 500
0.541 23.734 45 500
0.541 23.734 46 500
0.546 24.271 47 500
0.539 24.875 48 500
0.543 25.519 49 500
0.575 26.033 50 500
0.522 26.574 51 500
0.580 27.142 52 500
0.567 27.733 53 500
0.566 28.311 54 500
0.555 28.928 55 500
0.573 29.474 56 500
0.595 29.880 57 500
0.591 30.276 58 500
0.607 30.430 59 500
0.657 30.433 60 500
0.657 30.433 61 500
0.735 30.347 62 500
0.811 30.327 63 500
0.836 30.279 64 500
0.848 30.231 65 500
1.325 30.247 66 500
1.325 30.247 67 500
1.743 30.215 68 500
1.743 30.215 69 500
2.041 30.208 70 500
2.406 30.187 71 500
2.794 30.172 72 500
3.200 30.160 73 500
3.200 30.160 74 500
3.650 30.165 75 500
4.057 30.095 76 500
4.451 30.052 77 500
4.840 30.042 78 500
5.253 30.025 79 500
5.691 30.025 80 500
6.089 29.982 81 500
6.396 29.973 82 500
6.549 29.975 83 500
6.909 29.985 84 500
6.909 29.985 85 500
7.355 30.001 86 500
7.736 30.000 87 500
8.209 30.013 88 500
8.633 30.015 89 500
9.070 30.006 90 500
9.508 29.998 91 500
9.982 30.021 92 500
10.436 30.008 93 500
10.861 30.041 94 500
11.326 30.019 95 500
11.778 30.021 96 500
12.221 30.002 97 500
12.221 30.002 98 500
12.694 30.010 99 500
13.104 29.999 100 500
13.561 30.001 101 500
14.009 29.985 102 500
14.428 29.971 103 500
14.865 29.963 104 500
15.283 29.950 105 500
15.687 29.941 106 500
16.146 29.931 107 500
16.605 29.922 108 500
17.049 29.922 109 500
17.499 29.920 110 500
